id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
79;scraping restaurants;requests;1566989711.608096;-1.4518013000488281;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or790-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or790-Mother-Copenhagen_Zealand.html;1291675;200;True;
80;scraping restaurants;requests;1566989714.566699;-1.974564790725708;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or800-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or800-Mother-Copenhagen_Zealand.html;1292644;200;True;
81;scraping restaurants;requests;1566989718.047727;-1.369899034500122;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or810-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or810-Mother-Copenhagen_Zealand.html;1293700;200;True;
82;scraping restaurants;requests;1566989720.922642;-1.331024169921875;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or820-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or820-Mother-Copenhagen_Zealand.html;1292818;200;True;
83;scraping restaurants;requests;1566989723.7637708;-1.3589303493499756;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or830-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or830-Mother-Copenhagen_Zealand.html;1294707;200;True;
84;scraping restaurants;requests;1566989726.6316118;-1.3778581619262695;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or840-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or840-Mother-Copenhagen_Zealand.html;1293269;200;True;
85;scraping restaurants;requests;1566989729.522382;-1.3510081768035889;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or850-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or850-Mother-Copenhagen_Zealand.html;1291381;200;True;
86;scraping restaurants;requests;1566989732.381136;-1.3136858940124512;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or860-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or860-Mother-Copenhagen_Zealand.html;1296327;200;True;
87;scraping restaurants;requests;1566989735.204952;-1.3942642211914062;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or870-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or870-Mother-Copenhagen_Zealand.html;1293263;200;True;
88;scraping restaurants;requests;1566989738.107444;-1.4460220336914062;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or880-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or880-Mother-Copenhagen_Zealand.html;1291392;200;True;
